Death_D3: .word 8, 32
.byte 199,199,199,199,199,199,199,199,
199,199,199,199,199,14,199,199,
199,199,199,199,199,14,14,199,
199,199,199,14,199,199,14,199,
199,199,199,14,199,32,32,199,
199,14,199,32,14,199,14,14,
199,199,199,199,199,14,199,14,
199,199,199,199,14,14,14,199,
199,199,199,199,199,199,199,199,
199,199,14,199,199,199,199,199,
199,199,199,199,199,199,199,199,
199,199,32,14,14,199,199,199,
14,199,14,199,199,199,199,199,
14,14,199,32,199,14,14,199,
14,199,14,32,14,14,199,199,
199,14,14,199,199,199,199,199,
199,199,199,199,199,14,14,199,
199,199,14,14,32,14,199,14,
199,14,14,199,32,199,14,14,
199,199,199,199,199,14,199,14,
199,199,199,14,14,32,199,199,
199,199,199,199,199,199,199,199,
199,199,199,199,199,14,199,199,
199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,
199,199,199,199,199,14,199,199,
199,199,199,199,199,14,14,199,
199,199,199,14,199,199,14,199,
199,199,199,14,199,32,32,199,
199,14,199,32,14,199,14,14,
199,199,199,199,199,14,199,14,
199,199,199,199,14,14,14,199,


