# Stores all tiles used in the game, that can be rendered by checking the value on the map matrixes (seen on matrix.data)
# 
# --> Total ammount of data: 9.984 bytes (256 bytes per tile) or 9.75 KiB
#
# There is a total of 39 tiles looked by matrixes: (as of 03/05/24) -- ATUALIZAR QDO IMPLEMENTAR PORTA PARA 45
# The number 0 on matrixes is not a tile, and will be rendered as black
#
# 01. BreakBlock: 74		16. Ground2B: 106		31. Pipe1V: 82
# 02. Bush2A: 126		17. Ground2C: 114		32. Pipe2H: 68	
# 03. Bush2B: 127		18. Ground3A: 84		33. Pipe2V: 122
# 04. Door Left Top: 14		19. Ground3B: 92 		34. Pipe3V2: 118
# > 05. Door Left Middle: 12	20. Ground3C: 100		35. Pipe3V: 110
# > 06. Door Left Bottom: 12	21. ItemHolderA: 128		36. Slide1L: 96
# > 07. Door Right Top: 6	22. ItemHolderB: 136		37. Slide1R: 104
# > 08. Door Right Middle: 4	23. ItemHolderC: 144		38. SpikeL: 78
# > 09. Door Right Bottom: 4	24. ItemHolderD: 152		39. SpikeR: 86
# 10. DoorFrame: 198		25. ItemHolderE: 160		40. Tile1A: 120
# 11. Ground1A: 64		26. ItemHolderF: 168		41. Tile1B: 66
# 12. Ground1B: 72		27. ItemHolderG: 176		42. Tile2A: 76
# 13. Ground1C: 80		28. LavaB: 94 			43. Tile3A: 116
# 14. Ground1D: 88		29. LavaT: 102 -- can kill	44. Tile3B: 124
# 15. Ground2A: 98		30. Pipe1H: 90			45. Tile3C: 70

.word 0 # Aligning bytes
BreakBlock: # 16 x 16 = 256 bytes
.byte 0,0,227,227,0,227,227,0,227,227,227,227,227,0,0,0,
0,227,227,0,0,227,227,227,0,227,227,227,227,160,0,0,
227,227,0,209,209,209,209,209,0,0,209,209,0,160,160,0,
227,227,0,209,209,209,209,0,0,209,209,209,209,0,0,0,
227,227,209,209,209,0,0,209,209,209,209,209,209,160,0,0,
227,227,209,209,0,0,209,209,209,209,209,209,209,160,160,0,
227,0,0,0,209,209,0,209,0,0,0,0,209,160,160,0,
0,227,0,209,209,209,0,0,0,209,209,0,0,160,160,0,
227,227,209,209,209,209,209,0,209,209,209,209,0,160,160,0,
227,227,209,209,209,209,209,0,209,209,209,209,209,160,160,0,
0,227,209,209,209,209,0,209,209,209,209,209,209,160,0,0,
227,0,0,209,209,0,209,209,209,209,209,209,0,0,160,0,
227,227,0,0,209,0,0,209,209,209,209,0,0,160,160,0,
0,227,160,0,160,160,160,0,160,160,160,160,0,160,0,0,
0,0,160,160,0,160,160,160,0,160,160,0,160,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

DoorFrame: # 16 x 16 = 256 bytes
.byte 103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,
103,216,216,216,216,216,216,3,103,216,216,216,216,216,216,3,
103,216,3,3,3,3,216,3,103,216,3,3,3,3,216,3,
103,216,3,216,216,103,216,3,103,216,3,216,216,103,216,3,
103,216,3,216,216,103,216,3,103,216,3,216,216,103,216,3,
103,216,3,103,103,103,216,3,103,216,3,103,103,103,216,3,
103,216,216,216,216,216,216,3,103,216,216,216,216,216,216,3,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,
103,216,216,216,216,216,216,3,103,216,216,216,216,216,216,3,
103,216,3,3,3,3,216,3,103,216,3,3,3,3,216,3,
103,216,3,216,216,103,216,3,103,216,3,216,216,103,216,3,
103,216,3,216,216,103,216,3,103,216,3,216,216,103,216,3,
103,216,3,103,103,103,216,3,103,216,3,103,103,103,216,3,
103,216,216,216,216,216,216,3,103,216,216,216,216,216,216,3,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,

Ground1A: # 16 x 16 = 256 bytes
.byte 0,0,227,227,227,227,227,0,0,0,0,227,227,0,0,0,
0,227,227,227,227,160,160,227,227,227,227,160,160,160,160,0,
227,227,227,160,160,160,160,160,160,160,0,0,0,0,0,160,
0,227,227,227,0,0,0,0,0,0,0,0,160,160,160,160,
0,0,0,0,0,227,227,227,160,160,160,0,0,0,0,0,
227,227,227,227,227,160,160,160,160,0,0,0,0,0,160,0,
160,160,227,160,227,227,0,0,0,0,0,160,160,160,160,160,
0,0,0,160,160,160,160,0,160,0,0,0,0,0,0,0,
227,227,0,0,0,0,0,227,227,160,160,0,0,0,160,160,
160,160,227,227,227,227,227,160,160,160,160,160,160,160,160,160,
0,0,160,227,227,227,227,227,227,227,0,0,0,160,160,0,
227,0,0,160,160,0,0,0,0,0,0,0,160,160,160,0,
227,227,0,0,0,0,160,160,0,0,160,160,0,0,0,0,
160,227,227,227,160,160,160,160,160,0,0,0,0,160,160,160,
0,160,160,160,160,160,160,0,0,0,0,0,0,0,160,160,
0,0,0,160,160,160,160,160,160,160,160,160,160,160,0,0,

Ground1B: # 16 x 16 = 256 bytes
.byte 0,0,0,0,227,227,0,0,0,0,0,0,0,0,0,0,
0,0,227,227,0,0,227,0,0,0,0,0,227,227,0,0,
0,227,227,227,227,160,160,227,0,0,0,0,227,160,160,0,
0,227,0,160,160,160,227,227,227,0,0,227,160,160,227,0,
227,227,160,0,0,0,0,227,0,0,0,0,227,227,0,227,
227,0,227,227,227,160,160,160,227,0,0,160,160,227,227,0,
227,227,160,160,160,0,0,0,227,227,227,227,0,160,227,227,
227,0,0,0,227,227,227,0,0,160,0,227,227,0,0,227,
227,227,0,0,0,0,0,227,227,160,160,0,0,0,160,160,
160,160,227,227,227,227,227,160,160,160,160,160,160,160,160,160,
0,0,160,227,227,227,227,227,227,227,0,0,0,160,160,0,
227,0,0,160,160,0,0,0,0,0,0,0,160,160,160,0,
227,227,0,0,0,0,160,160,0,0,160,160,0,0,0,0,
160,227,227,227,160,160,160,160,160,0,0,0,0,160,160,160,
0,160,160,160,160,160,160,0,0,0,0,0,0,0,160,160,
0,0,0,160,160,160,160,160,160,160,160,160,160,160,0,0,

Ground1C: # 16 x 16 = 256 bytes
.byte 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,160,0,0,160,0,0,0,0,
0,0,0,0,160,0,0,160,0,160,160,0,160,0,0,0,
0,0,0,160,0,0,0,0,160,0,0,160,0,0,0,0,
0,0,0,0,160,0,160,0,227,160,160,160,0,160,0,0,
0,0,160,0,0,160,0,160,160,0,160,227,160,0,160,0,
0,0,0,0,160,0,160,0,160,160,160,160,160,160,0,0,
0,0,0,0,0,160,160,160,160,0,160,160,0,160,0,0,
0,0,160,0,160,0,160,160,0,160,160,0,160,0,160,0,
0,0,0,160,0,160,0,160,160,160,0,0,160,0,0,0,
0,0,0,0,0,0,160,0,0,0,160,0,0,0,160,0,
0,0,160,0,0,0,0,160,0,0,160,0,160,0,0,0,
0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Ground1D: # 16 x 16 = 256 bytes
.byte 0,0,227,0,0,0,227,0,160,0,0,160,0,0,0,0,
0,160,160,160,0,160,160,0,0,160,227,0,0,0,0,0,
160,160,160,160,227,160,160,160,160,160,160,0,0,0,0,0,
227,160,160,160,160,160,160,160,160,160,0,160,0,0,0,0,
160,160,227,160,160,227,160,160,160,160,160,160,0,0,0,0,
0,160,160,160,160,160,160,160,160,0,160,0,160,160,0,0,
160,160,160,160,160,160,160,160,160,160,0,160,0,0,0,0,
0,160,227,160,160,160,160,0,160,160,160,160,160,0,0,0,
160,160,160,160,160,160,160,160,160,160,160,0,0,160,0,0,
160,160,160,0,160,160,160,0,0,160,0,0,0,0,0,0,
160,0,160,160,160,160,0,160,160,0,160,0,160,0,0,0,
0,160,160,160,160,0,160,160,0,160,0,0,0,0,0,0,
0,0,160,160,160,160,160,0,0,160,0,0,0,0,0,0,
0,160,0,160,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Tile1A: # 16 x 16 = 256 bytes
.byte 0,227,227,227,0,0,227,227,227,227,0,0,227,227,0,0,
227,160,160,160,160,0,0,160,160,160,0,160,160,160,0,0,
227,160,227,227,227,227,227,227,227,227,227,227,227,160,0,0,
0,160,227,160,160,160,160,160,160,160,160,160,0,160,0,0,
0,0,227,160,227,227,227,227,227,227,227,160,0,0,0,0,
227,0,227,160,227,160,160,160,160,160,0,160,0,160,0,0,
227,160,227,160,227,160,227,227,227,160,0,160,0,160,0,0,
227,160,227,160,227,160,227,160,0,160,0,160,0,160,0,0,
227,160,227,160,227,160,0,0,0,160,0,160,0,0,0,0,
227,160,227,160,227,160,160,160,160,227,0,160,0,160,0,0,
227,0,227,160,0,0,0,0,0,0,0,160,0,160,0,0,
0,160,227,160,160,160,160,160,160,160,160,227,0,160,0,0,
227,160,0,0,0,0,0,0,0,0,0,0,0,160,0,0,
227,160,160,160,0,160,160,160,160,160,0,0,160,227,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Tile1B: # 16 x 16 = 256 bytes
.byte 0,0,160,160,160,160,0,0,0,0,160,160,160,160,0,0,
0,160,227,227,227,160,160,0,0,160,160,227,227,227,160,0,
0,227,0,0,0,227,160,160,160,160,227,0,0,0,160,0,
160,227,0,160,160,0,160,0,0,227,0,160,160,0,160,160,
0,160,0,0,227,0,0,160,160,0,0,227,0,0,160,0,
160,160,160,0,0,0,160,0,0,160,0,0,0,160,160,160,
0,160,0,160,160,160,0,0,0,0,160,160,160,0,160,0,
160,160,0,227,0,160,0,160,160,0,160,0,0,0,160,160,
