energy: .word 26, 10
.byte 199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
82,82,199,212,220,220,220,220,220,212,199,212,212,199,199,199,212,212,199,199,199,199,199,199,199,199,199,199,
199,199,199,220,234,203,203,203,203,204,199,220,234,212,199,199,220,220,199,199,199,199,199,199,199,199,199,199,
199,212,199,220,220,199,199,199,199,199,199,220,234,234,212,199,220,220,199,199,199,199,199,199,199,199,199,199,
199,220,199,220,234,220,220,220,212,199,199,220,234,234,234,220,234,220,199,199,199,151,151,199,199,151,151,199,
199,220,199,220,234,203,203,203,204,199,199,220,234,203,234,234,234,220,199,199,199,151,151,199,199,151,151,199,
199,220,199,220,220,199,199,199,199,199,199,220,220,199,204,234,234,220,199,199,199,78,78,199,199,78,78,199,
199,220,199,220,234,220,220,220,220,212,199,220,220,199,199,204,234,220,199,199,199,199,199,199,199,199,199,199,
199,220,199,204,203,203,203,203,203,204,199,204,204,199,199,199,204,204,199,199,199,199,199,199,199,199,199,199,
199,220,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,204,

