Energy_UI: .word 24, 8
.byte 234,234,234,234,234,234,234,199,234,234,199,199,199,234,234,199,199,199,199,199,199,199,199,199,
234,234,209,209,209,209,209,199,234,234,234,199,199,234,234,199,199,199,199,199,199,199,199,199,
234,234,199,199,199,199,199,199,234,234,234,234,199,234,234,199,199,199,199,199,199,199,199,199,
234,234,234,234,234,234,199,199,234,234,234,234,234,234,234,199,199,103,103,199,199,103,103,199,
234,234,209,209,209,209,199,199,234,234,209,234,234,234,234,199,199,103,103,199,199,103,103,199,
234,234,199,199,199,199,199,199,234,234,199,209,234,234,234,199,199,14,14,199,199,14,14,199,
234,234,234,234,234,234,234,199,234,234,199,199,209,234,234,199,199,199,199,199,199,199,199,199,
209,209,209,209,209,209,209,199,209,209,199,199,199,209,209,199,199,199,199,199,199,199,199,199,


